Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30
0,14,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,15,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,16,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,17,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,18,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,19,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,20,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,21,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,22,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,23,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,24,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,25,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,26,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,27,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,28,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,29,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,30,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,31,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,32,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,33,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,34,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,35,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,36,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,37,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,38,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
0,39,3,2,2,1,4,0,3,1,0,1,0,3,3,1,1,0,2,0,1,4,1,3,0,0,2,0,1,2,1,4,4
