Indices,GC,LC
"(0, 0, 0, 0, 1, 3, 2, 1)",8.675761517004545,1.875
"(0, 0, 0, 0, 1, 3, 2, 2)",8.03716955639533,2.0
"(0, 0, 0, 0, 1, 3, 2, 3)",8.10625241500356,2.125
"(0, 0, 0, 0, 1, 3, 3, 0)",7.827957681511086,1.875
"(0, 0, 0, 0, 1, 3, 3, 1)",8.731908253285631,2.0
"(0, 0, 0, 0, 1, 3, 3, 2)",8.184500738628232,2.125
"(0, 0, 0, 0, 1, 3, 3, 3)",8.21831767249575,2.25
"(0, 0, 0, 0, 2, 0, 0, 0)",7.225937395912576,1.25
"(0, 0, 0, 0, 2, 0, 0, 1)",7.766752024911932,1.375
"(0, 0, 0, 0, 2, 0, 0, 2)",8.39321581872702,1.5
"(0, 0, 0, 0, 2, 0, 0, 3)",8.944976091511863,1.625
"(0, 0, 0, 0, 2, 0, 1, 0)",6.556814689012865,1.375
"(0, 0, 0, 0, 2, 0, 1, 1)",7.294118174157716,1.5
"(0, 0, 0, 0, 2, 0, 1, 2)",7.612453536682913,1.625
"(0, 0, 0, 0, 2, 0, 1, 3)",7.892432193014499,1.75
"(0, 0, 0, 0, 2, 0, 2, 0)",7.453858252274334,1.5
"(0, 0, 0, 0, 2, 0, 2, 1)",7.787693960660231,1.625
"(0, 0, 0, 0, 2, 0, 2, 2)",7.787032926317359,1.75
"(0, 0, 0, 0, 2, 0, 2, 3)",8.39020796482108,1.875
"(0, 0, 0, 0, 2, 0, 3, 0)",6.693700125868629,1.625
"(0, 0, 0, 0, 2, 0, 3, 1)",7.354355687074866,1.75
"(0, 0, 0, 0, 2, 0, 3, 2)",7.4448790986838125,1.875
"(0, 0, 0, 0, 2, 0, 3, 3)",8.01278821244682,2.0
"(0, 0, 0, 0, 2, 1, 0, 0)",7.824052474525949,1.375
"(0, 0, 0, 0, 2, 1, 0, 1)",7.922788895963821,1.5
"(0, 0, 0, 0, 2, 1, 0, 2)",8.380076324326591,1.625
"(0, 0, 0, 0, 2, 1, 0, 3)",8.542740584489977,1.75
"(0, 0, 0, 0, 2, 1, 1, 0)",7.205512118056651,1.5
"(0, 0, 0, 0, 2, 1, 1, 1)",7.50073739564002,1.625
"(0, 0, 0, 0, 2, 1, 1, 2)",7.6498963927129005,1.75
"(0, 0, 0, 0, 2, 1, 1, 3)",7.540779036423027,1.875
