Indices,GC,LC
"(0, 1, 2, 3)",5.031646036557059,2.5
"(0, 1, 2, 4)",4.589565617430227,2.75
"(0, 1, 2, 5)",4.502038314556735,3.0
"(0, 1, 2, 6)",4.2558789987198145,3.25
"(0, 1, 2, 7)",4.148648639016637,3.5
"(0, 1, 2, 8)",4.118698113437928,3.75
"(0, 1, 2, 9)",4.366300924042135,4.0
"(0, 1, 2, 10)",4.89755880921601,4.25
"(0, 1, 2, 11)",3.810913567642803,4.5
"(0, 1, 2, 12)",3.9122907902912742,4.75
"(0, 1, 2, 13)",4.220308286473035,5.0
"(0, 1, 2, 14)",4.140521475294927,5.25
"(0, 1, 2, 15)",3.603995192697838,5.5
"(0, 1, 3, 0)",4.382131535278365,2.0
"(0, 1, 3, 1)",3.787394166037923,2.25
"(0, 1, 3, 2)",4.082816450425984,2.5
"(0, 1, 3, 3)",4.003572765695012,2.75
"(0, 1, 3, 4)",4.393048615096775,3.0
"(0, 1, 3, 5)",3.71735652885452,3.25
"(0, 1, 3, 6)",3.551514406863548,3.5
"(0, 1, 3, 7)",4.0125050567850575,3.75
"(0, 1, 3, 8)",3.1361954799228884,4.0
"(0, 1, 3, 9)",3.91183210388971,4.25
"(0, 1, 3, 10)",3.0643865277651408,4.5
"(0, 1, 3, 11)",3.513214438252669,4.75
"(0, 1, 3, 12)",3.8497210852908608,5.0
"(0, 1, 3, 13)",3.309527695983901,5.25
"(0, 1, 3, 14)",3.6754675997894126,5.5
"(0, 1, 3, 15)",2.8448536299404754,5.75
"(0, 1, 4, 0)",5.031565374957882,2.25
"(0, 1, 4, 1)",4.11141440350354,2.5
"(0, 1, 4, 2)",4.642609568767296,2.75
"(0, 1, 4, 3)",4.910488384504156,3.0
"(0, 1, 4, 4)",4.697097135838402,3.25
"(0, 1, 4, 5)",4.114244762447747,3.5
"(0, 1, 4, 6)",4.507802710713775,3.75
"(0, 1, 4, 7)",4.3306617331685855,4.0
"(0, 1, 4, 8)",4.175481201959604,4.25
"(0, 1, 4, 9)",4.190573626279217,4.5
